X,Y,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,OBJECTID
-71.0384112843871,42.3348707073629,37,Tynan Bldg,650 E. Fourth Street,South Boston,02127,4590,4590,Tynan Elementary,Tynan,ES, , ,26
-71.0301987442427,42.3321207690511,38,Perry Bldg,745 E. Seventh Street,South Boston,02127,4592,4592,Perry K-8,Perry K-8,K-8, , ,27
-71.0595494081695,42.3203824114603,39,Russell Bldg,750 Columbia Road,Dorchester,02125,4530,4530,Russell Elementary,Russell,ES, , ,28
-71.0779090190448,42.3302752098705,42,Orchard Gardens K-8,906 Albany Street,Roxbury,02119,4680,4680,Orchard Gardens K-8,Orchard Gardens K-8,K-8, , ,29
-71.174340624339,42.2822686545933,131,West Roxbury Ed. Bldg,1205 V.F.W. Parkway,West Roxbury,02132,1256,1256,West Roxbury Academy,W. Roxbury Acad,HS,Shared, ,30
-71.0504296564989,42.3335737215474,83,Gavin Bldg,215 Dorchester Street,South Boston,02127,1325,1325,Middle School Academy,MS Acad,Special, , ,31
-71.0504296564989,42.3335737215474,34,Gavin Bldg,215 Dorchester Street,South Boston,02127,2450,2450,UP Academy,UP Academy,MS, , ,32
-71.081710596611,42.327028666327,44,Wheatley Bldg,20 Kearsage Avenue,Roxbury,02119,1410,1410,Boston Evening Academy,BDEA,Special,Shared, ,33
-71.0838399754365,42.3405597742244,45,Carter Center Bldg,396 Northampton Street,Roxbury,02118,4261,4261,Carter Center,Carter Center,Special, , ,34
-71.0902905994182,42.3317586670198,47,Madison Park Bldg #1,75 Malcolm X Blvd,Roxbury,02120,12101,1210,Madison Park High,Madison Park HS,HS, , ,35
-71.0887925992453,42.332038666866,48,Madison Park Bldg #3 - O'Bryant,55 Malcolm X Blvd,Roxbury,02120,1030,1030,O'Bryant Math & Sci.,O'Bryant School,6/7-12, , ,36
-71.0909705995376,42.3303986664829,49,Timilty Bldg,205 Roxbury Street,Roxbury,02119,2040,2040,Timilty Middle,Timilty MS,MS, , ,37
-71.0910405989387,42.3255486659004,50,Hale Bldg,51 Cedar Street,Roxbury,02119,4113,4113,Hale Elementary,Hale,ES, , ,38
